task,mode,threads,size,time,result
task6_matrix_send_modes,send,2,400,0.0009043329919222742,0.0012786670122295618
task6_matrix_send_modes,ssend,2,400,0.0008730840054340661,2.9332994017750025e-05
task6_matrix_send_modes,rsend,2,400,0.000872292002895847,3.370799822732806e-05
task6_matrix_send_modes,bsend,2,400,0.0009093330008909106,5.354199674911797e-05
task6_matrix_send_modes,send,2,656,0.002900666993809864,0.00023137498646974564
task6_matrix_send_modes,ssend,2,656,0.002857624989701435,7.404200732707977e-05
task6_matrix_send_modes,rsend,2,656,0.0028992079896852374,7.695800741203129e-05
task6_matrix_send_modes,bsend,2,656,0.0029585830052383244,0.00015108298975974321
task6_matrix_send_modes,send,2,800,0.005065791978267953,0.00038904199027456343
task6_matrix_send_modes,ssend,2,800,0.0050692080112639815,0.00012133299605920911
task6_matrix_send_modes,rsend,2,800,0.004941374994814396,0.00012041701120324433
task6_matrix_send_modes,bsend,2,800,0.005018541996832937,0.00024383299751207232
task6_matrix_send_modes,send,2,1056,0.011323583021294326,0.0006512500112876296
task6_matrix_send_modes,ssend,2,1056,0.011855250020744279,0.0002178330032620579
task6_matrix_send_modes,rsend,2,1056,0.01181541700498201,0.00023750000400468707
task6_matrix_send_modes,bsend,2,1056,0.013654417009092867,0.0005579159769695252
task6_matrix_send_modes,send,2,1200,0.014191333000781015,0.000881750020198524
task6_matrix_send_modes,ssend,2,1200,0.014155209006275982,0.00037566700484603643
task6_matrix_send_modes,rsend,2,1200,0.014072709018364549,0.00033874998916871846
task6_matrix_send_modes,bsend,2,1200,0.014359749999130145,0.0006275000050663948
task6_matrix_send_modes,send,2,1456,0.02531195798655972,0.0011464169947430491
task6_matrix_send_modes,ssend,2,1456,0.02554224999039434,0.0004773339896928519
task6_matrix_send_modes,rsend,2,1456,0.025726583000505343,0.000497291999636218
task6_matrix_send_modes,bsend,2,1456,0.02632633299799636,0.0013990830047987401
task6_matrix_send_modes,send,4,400,0.0012128330126870424,0.001488333015004173
task6_matrix_send_modes,ssend,4,400,0.0011540829727891833,8.81669984664768e-05
task6_matrix_send_modes,rsend,4,400,0.0011595829855650663,8.22500151116401e-05
task6_matrix_send_modes,bsend,4,400,0.001200958009576425,0.0028617499920073897
task6_matrix_send_modes,send,4,656,0.003777500009164214,0.000723542005289346
task6_matrix_send_modes,ssend,4,656,0.0038602909771725535,0.00025549999554641545
task6_matrix_send_modes,rsend,4,656,0.0037713749916292727,0.00027345799026079476
task6_matrix_send_modes,bsend,4,656,0.00386475000414066,0.00091608299408108
task6_matrix_send_modes,send,4,800,0.007603875012136996,0.0011307089880574495
task6_matrix_send_modes,ssend,4,800,0.008340500004123896,0.00037408299976959825
task6_matrix_send_modes,rsend,4,800,0.007554916985100135,0.000413333997130394
task6_matrix_send_modes,bsend,4,800,0.007686790981097147,0.0013656250084750354
task6_matrix_send_modes,send,4,1056,0.0163509999983944,0.001851832988904789
task6_matrix_send_modes,ssend,4,1056,0.01622804198996164,0.0007168750162236392
task6_matrix_send_modes,rsend,4,1056,0.015891959017608315,0.0007860829937271774
task6_matrix_send_modes,bsend,4,1056,0.016335374995833263,0.002706750005017966
task6_matrix_send_modes,send,4,1200,0.021318499988410622,0.0024095000117085874
task6_matrix_send_modes,ssend,4,1200,0.021487707999767736,0.0009651669824961573
task6_matrix_send_modes,rsend,4,1200,0.021149542008060962,0.0009475830011069775
task6_matrix_send_modes,bsend,4,1200,0.021956249984214082,0.0035103750124108046
task6_matrix_send_modes,send,4,1456,0.026052000001072884,0.003417208994505927
task6_matrix_send_modes,ssend,4,1456,0.026811666990397498,0.0012760410027112812
task6_matrix_send_modes,rsend,4,1456,0.025814666005317122,0.0012528749939519912
task6_matrix_send_modes,bsend,4,1456,0.026169207994826138,0.005189165996853262
task6_matrix_send_modes,send,8,400,0.0035984160203952342,0.0023203750024549663
task6_matrix_send_modes,ssend,8,400,0.003099291992839426,0.0004512919986154884
task6_matrix_send_modes,rsend,8,400,0.002249625016702339,0.0004097500059287995
task6_matrix_send_modes,bsend,8,400,0.002027042006375268,0.003884917008690536
task6_matrix_send_modes,send,8,656,0.00953849998768419,0.0054315000015776604
task6_matrix_send_modes,ssend,8,656,0.006606332986848429,0.000982375000603497
task6_matrix_send_modes,rsend,8,656,0.006416916992748156,0.0009347919840365648
task6_matrix_send_modes,bsend,8,656,0.009616916999220848,0.002767833007965237
task6_matrix_send_modes,send,8,800,0.009874332987237722,0.003489416994852945
task6_matrix_send_modes,ssend,8,800,0.011182459013070911,0.0015450830105692148
task6_matrix_send_modes,rsend,8,800,0.012187083018943667,0.0013091659930069
task6_matrix_send_modes,bsend,8,800,0.012992125004529953,0.004198249982437119
task6_matrix_send_modes,send,8,1056,0.018814749986631796,0.005410875019151717
task6_matrix_send_modes,ssend,8,1056,0.020865375001449138,0.0021368330053519458
task6_matrix_send_modes,rsend,8,1056,0.02347583300434053,0.0022733329969923943
task6_matrix_send_modes,bsend,8,1056,0.02337041700957343,0.006405874999472871
task6_matrix_send_modes,send,8,1200,0.030743707990041003,0.007615332986460999
task6_matrix_send_modes,ssend,8,1200,0.026085500023327768,0.0028489170072134584
task6_matrix_send_modes,rsend,8,1200,0.025072541000554338,0.0026259159785695374
task6_matrix_send_modes,bsend,8,1200,0.02935570798581466,0.01252399999066256
task6_matrix_send_modes,send,8,1456,0.030657209019409493,0.012094125006115064
task6_matrix_send_modes,ssend,8,1456,0.03702833299757913,0.004806416982319206
task6_matrix_send_modes,rsend,8,1456,0.03654499998083338,0.005193249991862103
task6_matrix_send_modes,bsend,8,1456,0.03419987499364652,0.014552749984432012
